"ano";"periodo";"moeda";"key";"value";"var"
"223";"1956";1956-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";8800;0.907216494845361
"224";"1956";1956-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";10300;1.17045454545455
"225";"1957";1957-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";9000;0.87378640776699
"226";"1957";1957-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";9900;1.1
"227";"1957";1957-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";10000;1.01010101010101
"228";"1957";1957-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";11900;1.19
"229";"1958";1958-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";11500;0.966386554621849
"230";"1958";1958-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";13500;1.17391304347826
"231";"1958";1958-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";13200;0.977777777777778
"232";"1958";1958-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";15600;1.18181818181818
"233";"1959";1959-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";15300;0.980769230769231
"234";"1959";1959-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";15900;1.03921568627451
"235";"1959";1959-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";16900;1.06289308176101
"236";"1959";1959-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";21400;1.26627218934911
"237";"1960";1960-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";19900;0.929906542056075
"238";"1960";1960-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";23300;1.17085427135678
"239";"1960";1960-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";23300;1
"240";"1960";1960-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";28200;1.21030042918455
"241";"1961";1961-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";26400;0.936170212765957
"242";"1961";1961-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";31000;1.17424242424242
"243";"1961";1961-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";32600;1.05161290322581
"244";"1961";1961-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";39800;1.22085889570552
"245";"1962";1962-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";38400;0.964824120603015
"246";"1962";1962-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";47300;1.23177083333333
"247";"1962";1962-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";47800;1.01057082452431
"248";"1962";1962-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";81100;1.69665271966527
"249";"1963";1963-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";59500;0.733662145499383
"250";"1963";1963-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";73500;1.23529411764706
"251";"1963";1963-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";89100;1.21224489795918
"252";"1963";1963-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";137600;1.54433221099888
